Site_Number,Site_Name,Site_Type,Latitude,Longitute,UTM_N,UTM_E,Elevation_ft,Hydrologic_Unit,Begin_Date,End_Date,Data_type,Count,Status,Information,Associated Samples,Link
411919119122301,026 N39 E24 01BB 1 Sp 3 Orfc A Mud Mdw Qd NW1,Spring,411919,1191223,,,4358,16040202,1980-05-26,1980-05-26,Water_quality,1,Inactive,,,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=411919119122301
411919119122302,026 N39 E24 01BB 2 Sp 3 Orfc B Mud Mdw Qd NW1,Spring,411919,1191223,,,4358,16040202,1980-05-26,2020-09-15,Water_quality,2,Inactive,,,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=411919119122302
411919119122303,026 N39 E24 01BB 3 Sp 3 Orfc E Mud Mdw Qd NW1,Spring,411919,1191223,,,4358,16040202,1980-05-26,1980-05-26,Water_quality,1,Inactive,,,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=411919119122303
411919119122304,026 N39 E24 01BB 4 Sp 3 Orfc G Mud Mdw Qd NW1,Spring,411919,1191223,,,4358,16040202,1980-05-26,1980-05-26,Water_quality,1,Inactive,,,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=411919119122304
411919119122305,026 N39 E24 01BB 5 Sp 3 Orfc H Mud Mdw Qd NW1,Spring,411919,1191223,,,4358,16040202,1980-05-26,1980-05-26,Water_quality,1,Inactive,,,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=411919119122305
411916119122801,026 N39 E24 01BBBA1 SMDD AREA 9 UNNAMED SPRING,Spring,411916.14,1191228.24,,,4363,16040202,2020-04-22,2020-07-15,Field_measurements,2,Inactive,Flow,,https://waterdata.usgs.gov/nwis/measurements/?site_no=411916119122801
412020119113102,026 N40 E24 25DD 1 Th Sp 10 Orfc C Mud Mdw Qd,Spring,412020,1191131,,,4337,16040202,1980-05-14,1980-05-14,,,Inactive,,,
412018119113101,026 N40 E24 25DDC 1 Thermal Sp 10 Mud Meadow,Spring,412018,1191131,,,4332,16040202,1980-05-14,1980-05-14,,,Inactive,,,
412016119113101,026 N40 E24 36DDDD1 SMDD AREA 10 UNNAMED SPR,Spring,412016.14,1191131.11,,,4338,16040202,2020-04-21,2021-01-12,,1,Inactive,,,https://nwis.waterdata.usgs.gov/usa/nwis/qwdata/?site_no=412020119113101&agency_cd=USGS&inventory_output=0&rdb_inventory_output=file&TZoutput=0&pm_cd_compare=Greater%20than&radio_parm_cds=all_parm_cds&format=html_table&qw_attributes=0&qw_sample_wide=wide&rdb_qw_attributes=0&date_format=YYYY-MM-DD&rdb_compression=file&submitted_form=brief_list
412010119112601,SMDD AREA 10 NATURAL CHANNEL,Stream,412010.19,1191126.57,,,4335,16040202,2020-04-21,2021-01-12,,4,Inactive,,,https://waterdata.usgs.gov/nwis/measurements/?site_no=412010119112601
411916119122301,SMDD AREA 9 NATURAL CHANNEL 1,Stream,411916.61,1191223.82,,,4359,16040202,2020-04-22,2020-07-15,Field_measurements,2,Inactive,Flow,,https://waterdata.usgs.gov/nwis/measurements/?site_no=411916119122301
